order_details_id,order_id,quantity,order_date,order_time,price_id,pizza_size,pizza_category,pizza_id,ingredients_id
1,1,1,2015-01-01,11:38:36 AM,D08,M,Classic,P13,I22
2,2,1,2015-01-01,11:57:40 AM,D12,M,Classic,P08,I19
3,2,1,2015-01-01,11:57:40 AM,D18,L,Veggie,P09,I20
4,2,1,2015-01-01,11:57:40 AM,D22,L,Supreme,P16,I04
5,2,1,2015-01-01,11:57:40 AM,D12,M,Veggie,P19,I31
6,2,1,2015-01-01,11:57:40 AM,D22,L,Chicken,P32,I07
7,3,1,2015-01-01,12:12:28 PM,D14,M,Supreme,P16,I04
8,3,1,2015-01-01,12:12:28 PM,D22,L,Supreme,P24,I21
9,4,1,2015-01-01,12:16:31 PM,D14,M,Supreme,P16,I04
10,5,1,2015-01-01,12:21:30 PM,D14,M,Supreme,P16,I04
11,6,1,2015-01-01,12:29:36 PM,D07,S,Chicken,P01,I02
12,6,1,2015-01-01,12:29:36 PM,D04,S,Classic,P11,I13
13,7,1,2015-01-01,12:50:37 PM,D06,S,Supreme,P31,I26
14,8,1,2015-01-01,12:51:37 PM,D06,S,Supreme,P31,I26
15,9,1,2015-01-01,12:52:01 PM,D04,S,Classic,P08,I19
16,9,1,2015-01-01,12:52:01 PM,D04,S,Veggie,P12,I30
17,9,1,2015-01-01,12:52:01 PM,D21,L,Classic,P15,I05
18,9,1,2015-01-01,12:52:01 PM,D22,L,Supreme,P16,I04
19,9,1,2015-01-01,12:52:01 PM,D06,S,Supreme,P16,I04
20,9,1,2015-01-01,12:52:01 PM,D04,S,Veggie,P19,I31
21,9,1,2015-01-01,12:52:01 PM,D22,L,Supreme,P28,I06
22,9,1,2015-01-01,12:52:01 PM,D22,L,Veggie,P30,I27
23,9,1,2015-01-01,12:52:01 PM,D04,S,Veggie,P33,I16
24,10,1,2015-01-01,1:00:15 PM,D20,L,Veggie,P19,I31
25,10,1,2015-01-01,1:00:15 PM,D22,L,Chicken,P27,I10
26,11,1,2015-01-01,1:02:59 PM,D22,L,Chicken,P01,I02
27,11,1,2015-01-01,1:02:59 PM,D22,L,Chicken,P05,I08
28,11,1,2015-01-01,1:02:59 PM,D15,M,Chicken,P05,I08
29,11,1,2015-01-01,1:02:59 PM,D11,L,Classic,P22,I17
30,12,1,2015-01-01,1:04:41 PM,D22,L,Chicken,P05,I08
31,12,1,2015-01-01,1:04:41 PM,D07,S,Chicken,P05,I08
32,12,1,2015-01-01,1:04:41 PM,D22,L,Chicken,P07,I12
33,12,1,2015-01-01,1:04:41 PM,D14,M,Supreme,P16,I04
34,13,1,2015-01-01,1:11:55 PM,D20,L,Veggie,P19,I31
35,14,1,2015-01-01,1:14:19 PM,D04,S,Classic,P11,I13
36,15,1,2015-01-01,1:33:00 PM,D04,S,Classic,P02,I01
37,15,1,2015-01-01,1:33:00 PM,D18,L,Veggie,P09,I20
38,15,1,2015-01-01,1:33:00 PM,D22,L,Supreme,P26,I23
39,15,1,2015-01-01,1:33:00 PM,D04,S,Classic,P11,I13
40,16,1,2015-01-01,1:34:07 PM,D17,L,Veggie,P10,I24
41,16,1,2015-01-01,1:34:07 PM,D04,S,Classic,P20,I28
42,16,1,2015-01-01,1:34:07 PM,D22,L,Chicken,P32,I07
43,17,1,2015-01-01,1:53:00 PM,D22,L,Chicken,P01,I02
44,17,1,2015-01-01,1:53:00 PM,D13,M,Supreme,P04,I32
45,17,1,2015-01-01,1:53:00 PM,D18,L,Veggie,P09,I20
46,17,1,2015-01-01,1:53:00 PM,D10,M,Veggie,P10,I24
47,17,1,2015-01-01,1:53:00 PM,D14,M,Supreme,P16,I04
48,17,1,2015-01-01,1:53:00 PM,D07,S,Veggie,P17,I14
49,17,2,2015-01-01,1:53:00 PM,D33,M,Veggie,P18,I25
50,17,1,2015-01-01,1:53:00 PM,D20,L,Veggie,P19,I31
51,17,1,2015-01-01,1:53:00 PM,D06,S,Supreme,P21,I15
52,17,1,2015-01-01,1:53:00 PM,D20,L,Veggie,P29,I29
53,18,1,2015-01-01,1:57:08 PM,D21,L,Classic,P20,I28
54,19,1,2015-01-01,1:59:09 PM,D21,L,Classic,P15,I05
55,19,1,2015-01-01,1:59:09 PM,D20,L,Supreme,P25,I11
56,20,1,2015-01-01,2:03:08 PM,D04,S,Classic,P02,I01
57,20,1,2015-01-01,2:03:08 PM,D18,L,Veggie,P09,I20
58,21,1,2015-01-01,2:14:29 PM,D21,L,Classic,P15,I05
59,22,1,2015-01-01,2:16:26 PM,D18,L,Veggie,P09,I20
60,22,1,2015-01-01,2:16:26 PM,D12,M,Classic,P15,I05
61,22,1,2015-01-01,2:16:26 PM,D22,L,Chicken,P27,I10
62,23,1,2015-01-01,2:19:03 PM,D07,S,Chicken,P27,I10
63,24,1,2015-01-01,2:23:01 PM,D15,M,Chicken,P01,I02
64,24,1,2015-01-01,2:23:01 PM,D12,M,Classic,P15,I05
65,24,1,2015-01-01,2:23:01 PM,D06,M,Classic,P22,I17
66,24,1,2015-01-01,2:23:01 PM,D06,S,Supreme,P24,I21
67,25,1,2015-01-01,2:44:44 PM,D13,M,Supreme,P25,I11
68,25,1,2015-01-01,2:44:44 PM,D22,L,Chicken,P32,I07
69,26,1,2015-01-01,2:54:26 PM,D04,S,Classic,P08,I19
70,26,1,2015-01-01,2:54:26 PM,D20,L,Veggie,P33,I16
71,27,1,2015-01-01,3:11:17 PM,D22,L,Chicken,P01,I02
72,27,1,2015-01-01,3:11:17 PM,D12,M,Classic,P08,I19
73,27,1,2015-01-01,3:11:17 PM,D20,L,Veggie,P29,I29
74,28,1,2015-01-01,3:35:46 PM,D07,S,Chicken,P06,I09
75,29,1,2015-01-01,3:41:01 PM,D04,S,Veggie,P12,I30
76,30,1,2015-01-01,3:41:25 PM,D22,L,Chicken,P32,I07
77,31,1,2015-01-01,3:50:18 PM,D12,M,Veggie,P19,I31
78,31,1,2015-01-01,3:50:18 PM,D01,S,Classic,P22,I17
79,32,1,2015-01-01,3:53:18 PM,D04,S,Classic,P02,I01
80,32,1,2015-01-01,3:53:18 PM,D20,L,Veggie,P12,I30
81,32,1,2015-01-01,3:53:18 PM,D21,L,Classic,P15,I05
82,32,1,2015-01-01,3:53:18 PM,D14,M,Supreme,P16,I04
83,33,1,2015-01-01,3:54:08 PM,D22,L,Chicken,P01,I02
84,33,1,2015-01-01,3:54:08 PM,D04,S,Veggie,P12,I30
85,34,1,2015-01-01,4:21:21 PM,D04,S,Classic,P11,I13
86,35,1,2015-01-01,4:32:04 PM,D12,M,Veggie,P12,I30
87,35,1,2015-01-01,4:32:04 PM,D16,L,Classic,P23,I18
88,35,1,2015-01-01,4:32:04 PM,D06,M,Classic,P22,I17
89,35,1,2015-01-01,4:32:04 PM,D22,L,Chicken,P32,I07
90,36,1,2015-01-01,4:54:09 PM,D15,M,Chicken,P01,I02
91,36,1,2015-01-01,4:54:09 PM,D12,M,Classic,P08,I19
92,37,1,2015-01-01,4:56:09 PM,D22,L,Supreme,P16,I04
93,37,1,2015-01-01,4:56:09 PM,D20,L,Veggie,P19,I31
94,38,1,2015-01-01,5:03:00 PM,D02,S,Classic,P13,I22
95,38,1,2015-01-01,5:03:00 PM,D21,L,Classic,P15,I05
96,39,1,2015-01-01,5:07:23 PM,D22,L,Supreme,P16,I04
97,40,1,2015-01-01,5:14:36 PM,D17,L,Veggie,P10,I24
98,40,1,2015-01-01,5:14:36 PM,D07,S,Chicken,P27,I10
99,41,1,2015-01-01,5:15:20 PM,D10,M,Veggie,P10,I24
100,41,1,2015-01-01,5:15:20 PM,D04,S,Veggie,P12,I30
101,42,1,2015-01-01,5:28:09 PM,D04,S,Classic,P02,I01
102,42,1,2015-01-01,5:28:09 PM,D18,L,Veggie,P09,I20
103,42,1,2015-01-01,5:28:09 PM,D20,L,Veggie,P19,I31
104,42,1,2015-01-01,5:28:09 PM,D14,M,Supreme,P21,I15
105,43,1,2015-01-01,5:38:34 PM,D15,M,Chicken,P06,I09
106,43,1,2015-01-01,5:38:34 PM,D14,M,Supreme,P16,I04
107,43,1,2015-01-01,5:38:34 PM,D22,L,Supreme,P21,I15
108,44,1,2015-01-01,5:54:20 PM,D06,S,Veggie,P30,I27
109,45,1,2015-01-01,5:55:48 PM,D17,L,Veggie,P10,I24
110,45,1,2015-01-01,5:55:48 PM,D02,S,Classic,P13,I22
111,45,1,2015-01-01,5:55:48 PM,D15,M,Chicken,P32,I07
112,46,1,2015-01-01,6:25:51 PM,D22,L,Chicken,P07,I12
113,46,1,2015-01-01,6:25:51 PM,D21,L,Classic,P08,I19
114,46,1,2015-01-01,6:25:51 PM,D15,M,Chicken,P32,I07
115,47,1,2015-01-01,6:26:34 PM,D22,L,Chicken,P27,I10
116,47,1,2015-01-01,6:26:34 PM,D04,S,Veggie,P33,I16
117,48,1,2015-01-01,6:26:42 PM,D15,M,Chicken,P07,I12
118,48,1,2015-01-01,6:26:42 PM,D04,S,Veggie,P12,I30
119,48,1,2015-01-01,6:26:42 PM,D22,L,Supreme,P24,I21
120,48,1,2015-01-01,6:26:42 PM,D22,L,Supreme,P28,I06
121,49,1,2015-01-01,6:33:00 PM,D20,L,Supreme,P25,I11
122,50,1,2015-01-01,6:41:01 PM,D28,XL,Classic,P11,I13
123,51,1,2015-01-01,6:48:28 PM,D22,L,Chicken,P01,I02
124,51,1,2015-01-01,6:48:28 PM,D16,L,Classic,P23,I18
125,52,1,2015-01-01,6:53:02 PM,D14,L,Classic,P13,I22
126,52,1,2015-01-01,6:53:02 PM,D20,L,Veggie,P19,I31
127,52,1,2015-01-01,6:53:02 PM,D22,L,Supreme,P28,I06
128,53,1,2015-01-01,6:54:17 PM,D03,S,Classic,P23,I18
129,53,1,2015-01-01,6:54:17 PM,D14,M,Supreme,P31,I26
130,54,1,2015-01-01,7:01:45 PM,D14,M,Supreme,P24,I21
131,54,1,2015-01-01,7:01:45 PM,D22,L,Chicken,P32,I07
132,55,1,2015-01-01,7:03:19 PM,D06,S,Supreme,P21,I15
133,55,1,2015-01-01,7:03:19 PM,D22,L,Supreme,P28,I06
134,56,1,2015-01-01,7:07:00 PM,D12,M,Classic,P08,I19
135,56,1,2015-01-01,7:07:00 PM,D20,L,Veggie,P18,I25
136,56,1,2015-01-01,7:07:00 PM,D15,M,Chicken,P27,I10
137,57,1,2015-01-01,7:10:51 PM,D12,M,Classic,P08,I19
138,58,1,2015-01-01,7:30:40 PM,D18,L,Veggie,P09,I20
139,58,1,2015-01-01,7:30:40 PM,D06,M,Classic,P22,I17
140,59,1,2015-01-01,7:40:08 PM,D07,S,Veggie,P17,I14
141,59,1,2015-01-01,7:40:08 PM,D03,S,Classic,P23,I18
142,59,1,2015-01-01,7:40:08 PM,D11,L,Classic,P22,I17
143,60,1,2015-01-01,8:05:16 PM,D22,L,Chicken,P07,I12
144,60,1,2015-01-01,8:05:16 PM,D10,M,Veggie,P10,I24
145,61,1,2015-01-01,8:08:43 PM,D15,M,Chicken,P01,I02
146,61,1,2015-01-01,8:08:43 PM,D22,L,Supreme,P16,I04
147,62,1,2015-01-01,8:50:16 PM,D15,M,Chicken,P01,I02
148,62,1,2015-01-01,8:50:16 PM,D14,M,Supreme,P31,I26
149,63,1,2015-01-01,8:51:42 PM,D09,M,Classic,P23,I18
150,64,1,2015-01-01,8:52:08 PM,D04,S,Classic,P02,I01
151,65,1,2015-01-01,9:16:00 PM,D03,S,Classic,P23,I18
152,65,1,2015-01-01,9:16:00 PM,D05,S,Supreme,P25,I11
153,65,1,2015-01-01,9:16:00 PM,D06,S,Supreme,P28,I06
154,65,1,2015-01-01,9:16:00 PM,D14,M,Supreme,P31,I26
155,66,1,2015-01-01,9:47:55 PM,D12,M,Classic,P08,I19
156,66,1,2015-01-01,9:47:55 PM,D12,M,Classic,P15,I05
157,67,1,2015-01-01,10:03:40 PM,D22,L,Chicken,P27,I10
158,68,1,2015-01-01,10:07:32 PM,D12,M,Classic,P08,I19
159,68,1,2015-01-01,10:07:32 PM,D22,L,Supreme,P16,I04
160,68,1,2015-01-01,10:07:32 PM,D14,M,Supreme,P16,I04
161,69,1,2015-01-01,10:12:13 PM,D22,L,Chicken,P01,I02
162,70,1,2015-01-02,11:38:51 AM,D07,S,Veggie,P17,I14
163,70,1,2015-01-02,11:38:51 AM,D22,L,Supreme,P26,I23
164,71,1,2015-01-02,11:40:50 AM,D22,L,Chicken,P32,I07
165,72,1,2015-01-02,11:57:25 AM,D20,L,Veggie,P29,I29
166,73,1,2015-01-02,11:58:56 AM,D07,S,Chicken,P32,I07
167,74,1,2015-01-02,12:01:12 PM,D18,L,Veggie,P09,I20
168,74,1,2015-01-02,12:01:12 PM,D20,L,Veggie,P19,I31
169,74,1,2015-01-02,12:01:12 PM,D06,S,Veggie,P30,I27
170,74,1,2015-01-02,12:01:12 PM,D22,L,Supreme,P31,I26
171,75,1,2015-01-02,12:10:15 PM,D06,S,Supreme,P16,I04
172,75,1,2015-01-02,12:10:15 PM,D20,L,Veggie,P18,I25
173,75,1,2015-01-02,12:10:15 PM,D21,L,Classic,P20,I28
174,76,1,2015-01-02,12:21:17 PM,D04,S,Classic,P02,I01
175,76,1,2015-01-02,12:21:17 PM,D14,L,Classic,P13,I22
176,76,1,2015-01-02,12:21:17 PM,D23,L,Veggie,P17,I14
177,76,1,2015-01-02,12:21:17 PM,D22,L,Supreme,P28,I06
178,77,1,2015-01-02,12:22:46 PM,D15,M,Chicken,P01,I02
179,77,1,2015-01-02,12:22:46 PM,D08,M,Classic,P13,I22
180,78,1,2015-01-02,12:28:14 PM,D04,S,Classic,P02,I01
181,78,1,2015-01-02,12:28:14 PM,D04,S,Classic,P08,I19
182,78,1,2015-01-02,12:28:14 PM,D17,L,Veggie,P10,I24
183,78,1,2015-01-02,12:28:14 PM,D12,M,Classic,P15,I05
184,78,3,2015-01-02,12:28:14 PM,D54,L,Supreme,P28,I06
185,78,1,2015-01-02,12:28:14 PM,D07,S,Chicken,P32,I07
186,79,1,2015-01-02,12:29:11 PM,D21,L,Classic,P15,I05
187,79,1,2015-01-02,12:29:11 PM,D03,S,Classic,P23,I18
188,79,1,2015-01-02,12:29:11 PM,D22,L,Chicken,P32,I07
189,80,1,2015-01-02,12:35:38 PM,D01,S,Classic,P22,I17
190,80,1,2015-01-02,12:35:38 PM,D15,M,Chicken,P32,I07
191,81,1,2015-01-02,12:40:01 PM,D22,L,Chicken,P32,I07
192,82,1,2015-01-02,12:45:51 PM,D04,S,Classic,P02,I01
193,82,1,2015-01-02,12:45:51 PM,D15,M,Chicken,P05,I08
194,82,1,2015-01-02,12:45:51 PM,D22,L,Supreme,P28,I06
195,82,1,2015-01-02,12:45:51 PM,D12,M,Veggie,P33,I16
196,83,1,2015-01-02,12:53:27 PM,D07,S,Chicken,P27,I10
197,84,1,2015-01-02,1:13:41 PM,D11,L,Classic,P22,I17
198,85,1,2015-01-02,1:34:49 PM,D12,M,Classic,P08,I19
199,85,1,2015-01-02,1:34:49 PM,D04,S,Classic,P08,I19
200,85,1,2015-01-02,1:34:49 PM,D22,L,Supreme,P16,I04
201,85,1,2015-01-02,1:34:49 PM,D12,M,Classic,P11,I13
202,86,1,2015-01-02,1:40:31 PM,D14,L,Classic,P13,I22
203,87,1,2015-01-02,2:01:02 PM,D12,M,Classic,P15,I05
204,87,1,2015-01-02,2:01:02 PM,D12,M,Veggie,P19,I31
205,87,1,2015-01-02,2:01:02 PM,D22,L,Supreme,P31,I26
206,87,1,2015-01-02,2:01:02 PM,D06,S,Supreme,P31,I26
207,88,1,2015-01-02,2:10:08 PM,D18,L,Veggie,P09,I20
208,89,1,2015-01-02,2:30:19 PM,D22,L,Supreme,P26,I23
209,89,1,2015-01-02,2:30:19 PM,D22,L,Chicken,P32,I07
210,90,1,2015-01-02,3:08:48 PM,D20,L,Supreme,P25,I11
211,90,1,2015-01-02,3:08:48 PM,D07,S,Chicken,P32,I07
212,91,2,2015-01-02,3:14:43 PM,D45,L,Chicken,P01,I02
213,91,1,2015-01-02,3:14:43 PM,D07,S,Chicken,P07,I12
214,91,1,2015-01-02,3:14:43 PM,D01,S,Classic,P22,I17
215,92,1,2015-01-02,3:17:02 PM,D15,M,Chicken,P01,I02
216,92,1,2015-01-02,3:17:02 PM,D22,L,Supreme,P16,I04
217,92,1,2015-01-02,3:17:02 PM,D14,M,Supreme,P16,I04
218,92,1,2015-01-02,3:17:02 PM,D07,S,Veggie,P17,I14
219,92,1,2015-01-02,3:17:02 PM,D06,M,Classic,P22,I17
220,92,1,2015-01-02,3:17:02 PM,D14,M,Supreme,P21,I15
221,92,1,2015-01-02,3:17:02 PM,D04,S,Veggie,P29,I29
222,92,1,2015-01-02,3:17:02 PM,D06,S,Supreme,P31,I26
223,92,2,2015-01-02,3:17:02 PM,D33,M,Classic,P11,I13
224,93,1,2015-01-02,3:29:31 PM,D13,M,Supreme,P25,I11
225,94,1,2015-01-02,4:17:16 PM,D12,M,Classic,P15,I05
226,94,1,2015-01-02,4:17:16 PM,D07,S,Chicken,P27,I10
227,95,1,2015-01-02,4:18:04 PM,D04,S,Classic,P20,I28
228,95,1,2015-01-02,4:18:04 PM,D22,L,Supreme,P21,I15
229,96,1,2015-01-02,4:21:20 PM,D04,S,Classic,P20,I28
230,97,1,2015-01-02,4:45:33 PM,D04,S,Classic,P02,I01
231,98,1,2015-01-02,5:18:18 PM,D21,L,Classic,P08,I19
232,98,1,2015-01-02,5:18:18 PM,D21,L,Classic,P20,I28
233,99,1,2015-01-02,5:45:42 PM,D22,L,Supreme,P16,I04
234,100,1,2015-01-02,5:46:17 PM,D14,L,Classic,P13,I22
235,101,1,2015-01-02,5:51:33 PM,D22,L,Chicken,P05,I08
236,101,1,2015-01-02,5:51:33 PM,D11,L,Classic,P22,I17
237,101,1,2015-01-02,5:51:33 PM,D22,L,Supreme,P26,I23
238,101,1,2015-01-02,5:51:33 PM,D14,M,Supreme,P28,I06
239,102,1,2015-01-02,5:54:04 PM,D07,S,Chicken,P01,I02
240,102,1,2015-01-02,5:54:04 PM,D06,S,Supreme,P24,I21
241,103,1,2015-01-02,6:02:09 PM,D06,S,Supreme,P31,I26
242,104,1,2015-01-02,6:02:12 PM,D15,M,Chicken,P01,I02
243,104,1,2015-01-02,6:02:12 PM,D15,M,Chicken,P06,I09
244,104,1,2015-01-02,6:02:12 PM,D15,M,Veggie,P17,I14
245,104,1,2015-01-02,6:02:12 PM,D20,L,Veggie,P33,I16
246,105,2,2015-01-02,6:12:01 PM,D23,S,Classic,P13,I22
247,105,1,2015-01-02,6:12:01 PM,D11,L,Classic,P22,I17
248,105,1,2015-01-02,6:12:01 PM,D14,M,Supreme,P24,I21
249,106,1,2015-01-02,6:12:13 PM,D20,L,Veggie,P19,I31
250,106,1,2015-01-02,6:12:13 PM,D22,L,Supreme,P28,I06
251,107,1,2015-01-02,6:25:09 PM,D22,L,Chicken,P05,I08
252,107,1,2015-01-02,6:25:09 PM,D14,M,Supreme,P16,I04
253,107,1,2015-01-02,6:25:09 PM,D22,L,Supreme,P28,I06
254,107,1,2015-01-02,6:25:09 PM,D20,L,Veggie,P33,I16
255,108,1,2015-01-02,6:25:25 PM,D21,L,Classic,P08,I19
256,108,1,2015-01-02,6:25:25 PM,D14,L,Classic,P13,I22
257,108,1,2015-01-02,6:25:25 PM,D22,L,Supreme,P31,I26
258,109,1,2015-01-02,6:27:50 PM,D21,L,Classic,P15,I05
259,109,1,2015-01-02,6:27:50 PM,D22,L,Supreme,P16,I04
260,109,1,2015-01-02,6:27:50 PM,D06,M,Classic,P22,I17
261,109,1,2015-01-02,6:27:50 PM,D22,L,Supreme,P24,I21
262,110,1,2015-01-02,6:36:19 PM,D04,S,Classic,P02,I01
263,110,1,2015-01-02,6:36:19 PM,D21,L,Classic,P20,I28
264,110,1,2015-01-02,6:36:19 PM,D22,L,Supreme,P26,I23
265,110,1,2015-01-02,6:36:19 PM,D06,S,Supreme,P28,I06
266,111,1,2015-01-02,6:38:01 PM,D15,M,Chicken,P05,I08
267,111,1,2015-01-02,6:38:01 PM,D18,L,Veggie,P09,I20
268,111,1,2015-01-02,6:38:01 PM,D06,M,Classic,P22,I17
269,111,1,2015-01-02,6:38:01 PM,D22,L,Veggie,P30,I27
270,112,1,2015-01-02,6:41:40 PM,D01,S,Classic,P22,I17
271,113,1,2015-01-02,6:50:21 PM,D22,L,Chicken,P05,I08
272,113,1,2015-01-02,6:50:21 PM,D20,L,Veggie,P19,I31
273,113,1,2015-01-02,6:50:21 PM,D15,M,Chicken,P27,I10
274,114,1,2015-01-02,6:59:32 PM,D11,L,Classic,P22,I17
275,114,1,2015-01-02,6:59:32 PM,D05,S,Supreme,P25,I11
276,115,1,2015-01-02,7:05:17 PM,D04,S,Classic,P02,I01
277,115,1,2015-01-02,7:05:17 PM,D21,L,Classic,P20,I28
