Pname,PNumber,PTitle,PDescription,AreaPrimary,AreaSecondary,DisciplinePrimary,DisciplineSecondary,Round,ApprovalDate,OntarioCommitment,TotalProjectCosts,Keyword,OIA_Area,project_id,institution_id
Post-Doctoral Fellowship,PD11-05-00 2B,Advanced optical sensors and sensor networks based on Tilted Fiber Bragg Gratings,"The goal of this project is to develop all-fiber sensor devices that can simultaneously return reliable quantitative information about the presence of specific constituents in gaseous ambient atmospheres and in liquids, along with other parameters of interest, remotely and in real time.",7.14,,12300,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,1,1
Post-Doctoral Fellowship,PD11-05-00 3A,,The focus of the research is to investigate protein interactions that regulate blood vessel development.,4.1,,41200,41900,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,2,2
Post-Doctoral Fellowship,PD09-04-00 18M,,"The research seeks to design, synthesize, and understand the roles of synthetic fucosylated-chondroitin sulfate (Fuc-CS) carbohydrate derivatives in neural stem/progenitor cell (NSPC) proliferation to enable stem cell delivery into tissues affected by neurodegenerative disorders suchs as stroke and spinal cord injuries.",4.3,,11000,41000,4,01-Dec-09,"$50,000","$100,000",,Advanced health technologies,3,3
Post-Doctoral Fellowship,PD11-05-00 2A,Impoving effectiveness of fish habitat restoration activities in Great Lakes coastal embayments: an integrated study of annual fish spatial ecology and limnology in Toronto Harbour,"The research aims to understand annual habitat requirements of key game fish species in Great Lakes coastal embayments, examine habitat partitioning between game species and an abundant invasive species to inform construction of key habitats that favour native speices, understand how fish movements and habitat selection are affected by physiochemical factors, and to assess fish community resposnes to habitat restoration.",3.7,3.4,22800,14900,5,14-Jan-11,"$50,000","$100,000",,Not Applicable,4,1
Post-Doctoral Fellowship,PD11-05-00 1,,"This project is aimed at the provision of the new and active compounds for anti-cancer screens and its purpose is to focus on the rational design, synthesis, and evaluation of selected compounds to develop potential drug candidates for commercialization.",7.4.2,,40900,10800,5,14-Jan-11,"$50,000","$100,000",,Pharmaceutical research and manufacturing,5,4
Post-Doctoral Fellowship,PD09-04-00 21,,"This project will build a framework that suggests directions for the design of teacher education to enable it to take into account the needs, skills ans knowledge regular and special education teachers should develop.",8.1,,21000,99998,4,01-Dec-09,"$50,000","$100,000",,Not Applicable,6,5
Post-Doctoral Fellowship,PD09-04-00 14C,Dynamics of spatial updating across smooth pursuit eye movements,"Dr. Dash will research the neural underpinnings of spatial updating across smooth pursuit eye movements, using single neuronal recording techniques from well trained behaving Rhesus monkeys.",4.1,,41100,99998,4,01-Dec-09,"$50,000","$100,000",,Advanced health technologies,7,6
Post-Doctoral Fellowship,PD09-04-00 18N,Colloidal quantum dot based tandem solar cells with gradually doped metal-oxide recombination layers,"Dr. Wang will research a new type of tandem solar cells with cheap and easy processed single material - PbS, that Dr. Wang will engineer to absorb the entire sunlight spectrum by tuning the size of PbS colloidal quantum dots.",5.5,,11400,12300,4,01-Dec-09,"$50,000","$100,000",,Bio-economy and clean technologies,8,3
Post-Doctoral Fellowship,PD09-04-00 7C,Role of epigenetics in the developmental origins of asthma and the allergic response,"Dr. North will research whether alterations in the epigenetic code in genes related to eosinophilopoiesis act as a molecular switch, initiating prediposition towards allergy during development and mediating the allergic response later in life.",4.9,,41300,14400,4,01-Dec-09,"$50,000","$100,000",,Advanced health technologies,9,7
Post-Doctoral Fellowship,PD09-04-00 19B,,Jaagsiekte sheep retrovius (JSRV) could be a risk factor for lung cancer in humans. University of Guelph researcher Dr. DeJong aims to explore the association between JSRV and lung cancer.,4.1,,14500,99998,4,01-Dec-09,"$50,000","$100,000",,Advanced health technologies,10,2
